Species:	sp.1	sp.2	sp.3	sp.4	sp.5	sp.6	sp.8	sp.7	sp.10	sp.9	sp.11	sp.12	sp.14	sp.13	sp.15	sp.16	sp.17	sp.18	sp.19	sp.20	sp.21	sp.23	sp.22	sp.24	sp.25	sp.26	sp.27	sp.28	sp.29	sp.30	sp.31	sp.32	sp.33	sp.34	sp.35	sp.36	sp.38	sp.39	sp.37	sp.40	sp.41	sp.42	sp.43	sp.44	sp.45	sp.46	sp.47	sp.48	sp.49	sp.50	sp.51	sp.52	sp.54	sp.53	sp.55	sp.56	sp.66	sp.57	sp.58	sp.59	sp.60	sp.61	sp.62	sp.63	sp.64	sp.65	sp.67	sp.68	sp.69	sp.70	sp.71	sp.72	sp.73	sp.74	sp.75	sp.100	sp.76	sp.77	sp.78	sp.79	sp.80	sp.81	sp.82	sp.83	sp.84	sp.85	sp.86	sp.99	sp.101	sp.160	sp.87	sp.88	sp.89	sp.90	sp.91	sp.92	sp.93	sp.94	sp.95	sp.96	sp.97	sp.98	sp.102	sp.103	sp.104	sp.105	sp.106	sp.107	sp.108	sp.109	sp.110	sp.111	sp.112	sp.113	sp.114	sp.115	sp.116	sp.117	sp.118	sp.119	sp.120	sp.121	sp.122	sp.123	sp.124	sp.125	sp.126	sp.127	sp.166	sp.169	sp.185	sp.186	sp.128	sp.129	sp.130	sp.131	sp.132	sp.133	sp.134	sp.135	sp.136	sp.137	sp.138	sp.139	sp.140	sp.141	sp.142	sp.143	sp.144	sp.145	sp.146	sp.147	sp.148	sp.149	sp.150	sp.151	sp.152	sp.153	sp.154	sp.155	sp.156	sp.157	sp.158	sp.159	sp.161	sp.162	sp.163	sp.164	sp.165	sp.167	sp.168	sp.170	sp.171	sp.172	sp.173	sp.174	sp.175	sp.176	sp.177	sp.178	sp.179	sp.180	sp.181	sp.182	sp.183	sp.184
spring_hay_meadow	0	0	5	2	7	0	4	0	8	4	0	4	15	0	13	0	3	0	1	0	2	1	1	4	0	0	7	2	0	2	0	0	0	5	0	0	1	0	6	0	0	0	0	0	0	1	7	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
spring_lakeside	0	0	30	2	25	0	3	0	0	4	0	2	0	6	0	6	1	0	0	7	12	0	1	1	0	0	2	8	0	1	0	0	5	2	0	0	0	0	0	0	2	0	9	2	0	0	0	3	0	0	0	0	0	0	0	3	1	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
spring_alpine_meadow	0	0	34	5	14	0	0	0	2	0	0	13	0	8	0	16	0	0	0	2	0	2	0	6	0	0	0	3	0	2	0	13	3	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	4	0	2	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
spring_shrubbery	0	1	13	9	10	0	6	0	10	8	0	10	0	1	1	0	7	0	0	8	5	1	2	6	0	0	4	2	0	3	0	0	2	0	0	0	0	0	1	0	1	0	1	6	4	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	2	0	3	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
spring_riverbank	0	0	4	12	11	0	8	3	8	8	0	3	14	0	7	2	7	0	0	5	2	0	16	2	0	0	3	0	0	2	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
spring_urban_garden	0	0	2	32	4	0	16	5	8	9	0	2	1	0	0	2	0	1	0	0	0	14	0	0	0	0	1	1	0	4	0	0	0	3	0	0	10	0	0	0	1	0	0	1	0	2	0	0	2	0	0	0	3	0	0	1	0	0	0	0	0	0	1	0	1	0	2	2	0	0	0	0	5	1	1	1	1	0	0	0	0	0	0	3	0	3	1	4	0	0	0	0	0	1	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
summer_hay_meadow	35	52	0	0	1	2	0	1	0	0	18	0	0	1	2	0	1	6	0	0	0	0	0	0	1	5	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
summer_lakeside	74	2	0	0	0	9	3	5	0	1	0	0	0	10	0	0	1	8	2	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	6	0	0	0	5	1	0	0	0	2	0	0	0	0	0	0	2	0	2	1	0	0	4	0	5	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
summer_alpine_meadow	33	37	0	1	1	26	0	5	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	1	2	10	0	0	0	0	0	0	0	3	0	0	1	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
summer_shrubbery	51	10	0	0	0	1	1	1	1	2	11	0	0	3	0	0	1	5	8	0	0	0	0	0	17	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
